,city,latitude,longitude,max_temp,humidity,cloud_cover,wind_speed,country,date
221,Lorengau,-2.3699999999551693,147.5299999997021,81.14,80.0,90.0,6.96,PG,2021-04-24 01:48:39
222,Barcelos,-1.0599999999544991,-62.160000000107175,60.8,88.0,75.0,9.22,PT,2021-04-24 01:53:32
223,Nikolskoye,44.350000000068746,174.98999999967714,36.0,93.0,75.0,4.47,RU,2021-04-24 01:43:25
224,Nizhniy kuranakh,59.56000000007651,124.7899999997228,29.77,81.0,100.0,12.44,RU,2021-04-24 01:50:56
225,Fort saint james,55.2400000000743,-124.53000000005045,45.5,48.0,95.0,7.87,CA,2021-04-24 01:53:33
226,Kamaishi,37.41000000006518,144.10999999970522,57.2,44.0,0.0,3.44,JP,2021-04-24 01:53:33
227,Nampula,-14.849999999961554,39.95999999979995,65.1,97.0,38.0,2.86,MZ,2021-04-24 01:53:34
228,Mayo,65.68000000007964,-135.9100000000401,52.0,56.0,53.0,6.82,US,2021-04-24 01:51:30
229,Talnakh,73.95000000008389,88.46999999975583,31.98,97.0,100.0,9.82,RU,2021-04-24 01:52:40
230,Kletskaya,49.10000000007116,43.39999999979682,44.01,94.0,100.0,3.0,RU,2021-04-24 01:54:36
231,Okha,55.73000000007454,142.06999999970708,33.35,65.0,4.0,9.13,RU,2021-04-24 01:47:28
232,Hervey bay,-20.66999999996453,156.59999999969386,75.99,60.0,14.0,4.0,AU,2021-04-24 01:54:37
233,Borogontsy,63.21000000007837,130.64999999971747,27.66,79.0,100.0,7.54,RU,2021-04-24 01:54:38
234,Camana,-17.999999999963165,-74.14000000009628,67.35,82.0,46.0,6.8,PE,2021-04-24 01:54:38
235,Russell,-27.87999999996822,179.06999999967343,66.2,67.0,20.0,5.61,US,2021-04-24 01:54:39
236,Sitka,56.090000000074724,-139.14000000003716,60.8,21.0,20.0,4.61,US,2021-04-24 01:52:17
237,Yangambi,-0.619999999954274,24.039999999814427,69.22,99.0,99.0,2.59,CD,2021-04-24 01:54:41
